Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords
2023-10-12 10:55:27.987, zfkd_, 10000, 0.5738308497438356, 0, 0, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 2, 10000, 9994
2023-10-12 10:55:28.141, zfkd_, 10000, 0.5413878571910375, 0, 0, 1, -1, -1, -1, 0.3203309692671395, 0.2, 0.3333333333333333, 3, 5, 271, 10000, 9154
2023-10-12 10:55:28.258, zfkd_, 10000, 0.16466127032888034, 0, 0, 2, -1, -1, -1, 0.18267027702561967, 0.07692307692307693, 0.3333333333333333, 5, 13, 1754, 10000, 398
2023-10-12 10:55:28.367, zfkd_, 10000, 0.042322258765989273, 0, 0, 3, -1, -1, -1, 0.1586688921343626, 0.05, 0.3333333333333333, 6, 20, 1521, 10000, 414
2023-10-12 10:55:28.462, zfkd_, 10000, 0.03226277698832769, 0, 0, 4, -1, -1, -1, 0.068, 0.022727272727272728, 0.3333333333333333, 14, 44, 680, 10000, 0
2023-10-12 10:55:28.524, zfkd_, 10000, 0.2599210498948732, 0, 0, 5, -1, -1, -1, 0.0068, 0.0026954177897574125, 0.011363636363636364, 147, 371, 68, 10000, 0
2023-10-12 10:55:28.732, zfkd_, 10000, 0.5729583017988527, 0, 1, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 14, 10000, 9958
2023-10-12 10:55:28.903, zfkd_, 10000, 0.5048040073262263, 0, 1, 1, -1, -1, -1, 0.3068091844813935, 0.14285714285714285, 0.3333333333333333, 3, 7, 775, 10000, 7474
2023-10-12 10:55:29.077, zfkd_, 10000, 0.24982813488192135, 0, 1, 2, -1, -1, -1, 0.09991998399679936, 0.047619047619047616, 0.3333333333333333, 10, 21, 999, 10000, 2
2023-10-12 10:55:29.234, zfkd_, 10000, 0.11277106395661685, 0, 1, 3, -1, -1, -1, 0.0884387847187406, 0.027777777777777776, 0.3333333333333333, 11, 36, 882, 10000, 27
2023-10-12 10:55:29.297, zfkd_, 10000, 0.12660424825395444, 0, 1, 4, -1, -1, -1, 0.034, 0.011627906976744186, 0.1111111111111111, 29, 86, 340, 10000, 0
2023-10-12 10:55:29.354, zfkd_, 10000, 0.3750688670741411, 0, 1, 5, -1, -1, -1, 0.0034, 0.0013717421124828531, 0.005025125628140704, 294, 729, 34, 10000, 0
2023-10-12 10:55:29.412, zfkd_, 10000, 0.5738308497438356, 1, 0, 0, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 2, 10000, 9994
2023-10-12 10:55:29.52, zfkd_, 10000, 0.5413878571910375, 1, 0, 1, -1, -1, -1, 0.3203309692671395, 0.2, 0.3333333333333333, 3, 5, 271, 10000, 9154
2023-10-12 10:55:29.6, zfkd_, 10000, 0.16466127032888034, 1, 0, 2, -1, -1, -1, 0.18267027702561967, 0.07692307692307693, 0.3333333333333333, 5, 13, 1754, 10000, 398
2023-10-12 10:55:29.772, zfkd_, 10000, 0.042322258765989273, 1, 0, 3, -1, -1, -1, 0.1586688921343626, 0.05, 0.3333333333333333, 6, 20, 1521, 10000, 414
